Campaign,StartDate,EndDate,Salon,Đã sử dụng,,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,109 TQH,2,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,1180 QT,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,145 THT,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,32 NAT,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,363 LNQ TN,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,382 NT,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,483 TN,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,50BT4 NPC LD,2,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,575 AC,3,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,62 LH,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,927 HG,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5034) CT Biotopcare date <6T,2026-03-02,2026-03-11,290 QT TH,2,Salon,,,,,,,,,,,,,,
(4956) Mua sáp Glanzen tặng xịt dưỡng Glanzen,2026-02-07,2026-03-31,109 TQH,2,Salon,,,,,,,,,,,,,,
(4955) MKT T1 VOUCHER 150K DỊCH VỤ,2026-02-06,2026-04-30,236 DBT,7,Marketing,,,,,,,,,,,,,,
(4955) MKT T1 VOUCHER 150K DỊCH VỤ,2026-02-06,2026-04-30,382 NT,1,Marketing,,,,,,,,,,,,,,
